link,Job Title,Company,Location,Pay,Job Type,Shift and Schedule
https://in.indeed.com/rc/clk?jk=4269a81bfbe61eec&bb=NGJKb7kF1J0QJcw2NHzk7ae7nQkvgICAyamuYFs_Qt9ohKharU_DSkkq8VbNeEwnj42i7sMigwfo-u4D39ywcPrC9--L3P4deM0OZdVbQuZJ28Ax-t8bPMGlZfFUKUei&xkcb=SoDy67M3AnaxgxQIyx0LbzkdCdPP&fccid=39dca192bf44c878&cmp=SKILLSKONNECT&ti=Data+Scientist&vjs=3,Data Scientist,N/A,"Delhi, Delhi","₹30,000 - ₹40,000 a month",Permanent,Day shift
https://in.indeed.com/rc/clk?jk=eac8cc93560a464d&bb=NGJKb7kF1J0QJcw2NHzk7cpGWZYq4qoCJOWcUKipkAcVzIQmFqTZWk6phCftNEsvgAQxXSIAq5KFINuMfI-0N9Md6NPHUuAbOiM05UJk3Ogh0JW8i3cXuosWo2nzGTx9&xkcb=SoBG67M3AnaxgxQIyx0KbzkdCdPP&fccid=19edf5bb0fc43a88&vjs=3,Data Scientist,N/A,"Delhi, Delhi",N/A,Full-time,N/A
https://in.indeed.com/rc/clk?jk=f95c4ac9188618ef&bb=NGJKb7kF1J0QJcw2NHzk7VgZH6r3isHI2tGi-VPjKFerrayBQK3DLwcI51sOtUEAfHPWB_uF_VBLFT_I2cpHQMOaqK_kZ6I86oSZVQkr0xbjn9EuIeb6nsMZIOT3xDwM&xkcb=SoDb67M3AnaxgxQIyx0JbzkdCdPP&fccid=779fbfd86b8c4bf0&vjs=3,Data Scientist,N/A,"Delhi, Delhi",N/A,N/A,N/A
https://in.indeed.com/rc/clk?jk=21a3e9bed40ba23b&bb=NGJKb7kF1J0QJcw2NHzk7Q39Kbu_WVByipIDfV_yjYRHbrPZlige70YhrPv7bw_Qgbe6a9LKlm7AFBrRxbMfG9OeSRKy8frvtM4Cr6Fox64RM2PYMoNHyFmU6lzjx4HX&xkcb=SoBv67M3AnaxgxQIyx0IbzkdCdPP&fccid=4447205e02b0549c&cmp=Advit-Ventures-Private-Limited&ti=Business+Process+Analyst&vjs=3,AI Intern - Business Processes,N/A,"Delhi, Delhi","₹12,000 a month",Internship,Day shift
https://in.indeed.com/rc/clk?jk=ba4c9da6ea8035df&bb=NGJKb7kF1J0QJcw2NHzk7c7Bwu46sEe-QAsgjMtrqby_lB87PNxpl3UOTWB7e5-TmOfm_vZNDDGY0ckiph5wcPUF6LO1K6izop0il1JPCNhtPez3ylR2jaQLaQ3qZoK7&xkcb=SoDh67M3AnaxgxQIyx0PbzkdCdPP&fccid=2190682bb1bb1726&vjs=3,Data Scientist,N/A,Delhi,N/A,N/A,N/A
https://in.indeed.com/rc/clk?jk=268566cbe6be3a8c&bb=NGJKb7kF1J0QJcw2NHzk7Qgyup87NNi7L8HcByrjWUFjfLxGuqqQGjT6t2uQUZUvX9rSjJ47vOgDXYdD2WoT-4b-RiCmds477c1dOPJ7ELZZZhRTJT929UnmOyMiCYlW&xkcb=SoBV67M3AnaxgxQIyx0ObzkdCdPP&fccid=253a5e16b30b30c6&cmp=Infinevo-Tech-Private-Limited&ti=Ai+Intern&vjs=3,AI Intern,N/A,"Mangolpuri S Block, Delhi, Delhi","₹8,000 - ₹12,000 a month",Full-time,Morning shift
https://in.indeed.com/rc/clk?jk=6980efb1c149cf4a&bb=NGJKb7kF1J0QJcw2NHzk7csKhNPRN5ZkzLXEFmupr05-eCrnGtSqykeVGE4LozZ0xABLphhSdU2f2kj5MHp0mB6DbBg6I1sSjrUs4ik5yipdbPjKZeiMCdFAFubJfo36&xkcb=SoDI67M3AnaxgxQIyx0NbzkdCdPP&fccid=db063444c62f4100&vjs=3,Data Scientist,N/A,"Delhi, Delhi",N/A,N/A,N/A
https://in.indeed.com/rc/clk?jk=ed62bc02f91f2f32&bb=NGJKb7kF1J0QJcw2NHzk7dnHQGl9rrADYvj0zJxvH4pdz0IxLhR0cFon5f94VZ3HuswTmfFmEqW1n3Wsou2BAvFUv9SkpEvNE5iaTShV0Rjx7uVHbUY01hVD6CFPF22C&xkcb=SoB867M3AnaxgxQIyx0MbzkdCdPP&fccid=47f71f61a64e0cbf&cmp=Madrid-Software-trainings&ti=Mentor&vjs=3,Data Analytics Trainer ( Mentor),N/A,"Saket, Delhi, Delhi","₹25,000 - ₹40,000 a month",Permanent,Morning shift
https://in.indeed.com/rc/clk?jk=be8ce2cbd2c927d6&bb=NGJKb7kF1J0QJcw2NHzk7ULugVqNHzvXzBqEYqQG4DHVVi9DkqBIgZy6Qq213a7YitMM0KV6V9XJBvqFUsY8cUSiF64n91p8zn4AQIyLcom3MLTgeql_jaF8QA-a36Pe&xkcb=SoCV67M3AnaxgxQIyx0DbzkdCdPP&fccid=f9da949e50846d75&vjs=3,Data Scientist,N/A,Delhi,N/A,Full-time,N/A
https://in.indeed.com/rc/clk?jk=f20f34ffdb5759de&bb=NGJKb7kF1J0QJcw2NHzk7Qgyup87NNi77wJlErZUrd4Le_f2GLLb1_0AREIqXS5HkSPVUHuBVGebjlXaVUGMFYvRqTRTubazusrQqleyq7x5U09VCvjxqmrogPvPkw41&xkcb=SoAh67M3AnaxgxQIyx0CbzkdCdPP&fccid=9102c38c15134e6c&vjs=3,Data Scientist,N/A,"Delhi, Delhi",N/A,Full-time,N/A
